Keyword,Clicks,Impressions,CTR,Position,Date, Page,Country,Device
antofagasta tv empleos,0.0,1.0,0.0,47.0,2019-05-10,gsc_property,worldwide,desktop,
atacama hd,0.0,1.0,0.0,9.0,2019-05-10,gsc_property,worldwide,desktop,
ayuda,0.0,1.0,0.0,30.0,2019-05-10,gsc_property,worldwide,desktop,
cable,0.0,7.0,0.0,10.857142857142858,2019-05-10,gsc_property,worldwide,desktop,
cable barato sin contrato,0.0,1.0,0.0,57.0,2019-05-10,gsc_property,worldwide,desktop,
cable colina,0.0,1.0,0.0,9.0,2019-05-10,gsc_property,worldwide,desktop,
cable economico,0.0,1.0,0.0,3.0,2019-05-10,gsc_property,worldwide,desktop,
cable en,0.0,5.0,0.0,5.4,2019-05-10,gsc_property,worldwide,desktop,
cable online chile,0.0,1.0,0.0,7.0,2019-05-10,gsc_property,worldwide,desktop,
cable por antena,0.0,1.0,0.0,3.0,2019-05-10,gsc_property,worldwide,desktop,
cable prepago,0.0,2.0,0.0,2.0,2019-05-10,gsc_property,worldwide,desktop,
cable tv,0.0,6.0,0.0,5.333333333333333,2019-05-10,gsc_property,worldwide,desktop,
cableg,0.0,1.0,0.0,10.0,2019-05-10,gsc_property,worldwide,desktop,
cablehogar canales,0.0,1.0,0.0,65.0,2019-05-10,gsc_property,worldwide,desktop,
cables tv,0.0,1.0,0.0,5.0,2019-05-10,gsc_property,worldwide,desktop,
caja vecina,0.0,2.0,0.0,43.0,2019-05-10,gsc_property,worldwide,desktop,
cajilla hd cable onda,0.0,1.0,0.0,40.0,2019-05-10,gsc_property,worldwide,desktop,
calama tv,0.0,1.0,0.0,62.0,2019-05-10,gsc_property,worldwide,desktop,
call center de cable onda,0.0,1.0,0.0,67.0,2019-05-10,gsc_property,worldwide,desktop,
canais de tv,0.0,1.0,0.0,93.0,2019-05-10,gsc_property,worldwide,desktop,
canal 13 en vivo hd,0.0,1.0,0.0,68.0,2019-05-10,gsc_property,worldwide,desktop,
canal 13 hd en vivo,0.0,1.0,0.0,83.0,2019-05-10,gsc_property,worldwide,desktop,
canal 13 hd vtr,0.0,1.0,0.0,44.0,2019-05-10,gsc_property,worldwide,desktop,
canal adulto brasil,0.0,1.0,0.0,67.0,2019-05-10,gsc_property,worldwide,desktop,
canal adulto online,0.0,1.0,0.0,29.0,2019-05-10,gsc_property,worldwide,desktop,
canal cdf premium vtr,0.0,1.0,0.0,62.0,2019-05-10,gsc_property,worldwide,desktop,
canal cl,0.0,1.0,0.0,80.0,2019-05-10,gsc_property,worldwide,desktop,
canal fox premium,0.0,1.0,0.0,31.0,2019-05-10,gsc_property,worldwide,desktop,
canal premium,0.0,2.0,0.0,12.5,2019-05-10,gsc_property,worldwide,desktop,
canal tv+,0.0,2.0,0.0,83.5,2019-05-10,gsc_property,worldwide,desktop,
canal venus en linea,0.0,1.0,0.0,60.0,2019-05-10,gsc_property,worldwide,desktop,
canal venus online,0.0,1.0,0.0,61.0,2019-05-10,gsc_property,worldwide,desktop,
canal venus programacion,0.0,1.0,0.0,97.0,2019-05-10,gsc_property,worldwide,desktop,
canal venus señal vivo por internet gratis,0.0,1.0,0.0,39.0,2019-05-10,gsc_property,worldwide,desktop,
canale online,0.0,1.0,0.0,7.0,2019-05-10,gsc_property,worldwide,desktop,
canales,0.0,3.0,0.0,11.0,2019-05-10,gsc_property,worldwide,desktop,
